Subject,Title,Authors,Year,Citation_Count,Cited_By,Research_Method,DOI
Social Science,Fortcoming special issues of social science &amp; medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90272-1
Social Science,Constitution of the Social Science History Association,,1982,0,Unavailable,Unknown Method,10.1017/s0145553200023038
Social Science,International Conference on Social Science Policy,,1970,0,Unavailable,Unknown Method,10.1177/053901847000900506
Social Science,Forthcoming special issues of social science &amp; medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90401-x
Social Science,Constitution of the Social Science History Association,,1976,2,Unavailable,Unknown Method,10.1017/s014555320002191x
Social Science,Computational Social Welfare: Applying Data Science in Social Work,"Cheng Ren, Marla Stuart, Julian Chun-Chung Chow",2020,0,Unavailable,"Simulation, Modeling",10.1093/obo/9780195389678-0286
Social Science,"Social science information studies volume i 1980/81, index",,1980,0,Unavailable,Unknown Method,10.1016/0143-6236(80)90017-4
Social Science,"A Second Look: ""The Agenda for 'Social Science History'""",William W. Beach,1980,1,Unavailable,Unknown Method,10.2307/1171145
Social Science,Developing partnerships for health and social science research: The International Clinical Epidemiology Network (INCLEN) social science component,Nick Higginbotham,1992,11,Unavailable,Unknown Method,10.1016/0277-9536(92)90036-p
Social Science,Forthcoming special issues of social science &amp; medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90256-3
Social Science,Forthcoming special issues of social science &amp; medicine,,1983,0,Unavailable,Unknown Method,10.1016/0277-9536(83)90027-8
Social Science,Doing Social Work Science,Ian Shaw,2016,0,Unavailable,Unknown Method,10.7312/columbia/9780231166409.003.0002
Social Science,Social Science in India a Social Anthropological Approach,L.P. Vidyarthi,1966,0,Unavailable,Unknown Method,10.1177/053901846600500107
Social Science,Social Elements: A Summary of Social Science Research on Rare Earth Industry in Baotou," , Yinbu Suo",2022,0,Unavailable,Unknown Method,10.51600/isr.2022.2.2.7
Social Science,HISTORICAL SOCIAL SCIENCE,,2021,0,Unavailable,Unknown Method,10.2307/j.ctv1vbd0sg.7
Social Science,Social Work Science and Understanding,Ian Shaw,2016,0,Unavailable,Unknown Method,10.7312/columbia/9780231166409.003.0007
Social Science,Social Science Research,,2007,0,Unavailable,Unknown Method,10.4135/9780857020147.n130
Social Science,No Title,,2024,0,Unavailable,Unknown Method,10.61476/pgrh3a09
Social Science,Gender in/and Social Science History,Barbara Laslett,1992,7,Unavailable,Unknown Method,10.1017/s014555320001645x
Social Science,Scandinavian social science in international journals,O. Persson,1985,4,Unavailable,Unknown Method,10.1016/0143-6236(85)90027-4
Social Science,The Netherlands Social Science Council,Gunther Beijer,1966,0,Unavailable,Unknown Method,10.1177/053901846600500411
Social Science,Computational Social Science,"R. Michael Alvarez, Seo-young Silvia Kim",2019,2,Unavailable,Simulation,10.1093/obo/9780199756223-0285
Social Science,Social control in applied social science: A study of evaluative researchers' conformity to technical norms,Ilene Nagel Bernstein,1978,4,Unavailable,Unknown Method,10.1016/0049-089x(78)90002-9
Social Science,Denmark,P.S. Koch,1969,0,Unavailable,Unknown Method,10.1177/053901846900800412
Social Science,The relevance of social science for medicine,Allan Young,1982,0,Unavailable,Unknown Method,10.1016/0277-9536(82)90371-9
Social Science,Life Cycles in Social Science History,Andrew Abbott,1999,4,Unavailable,Unknown Method,10.1017/s0145553200021830
Social Science,Périodiques de sciences sociales Social science periodicals,,1968,0,Unavailable,Unknown Method,10.1177/053901846800700118
Social Science,Science evaluation and social transformations,Peter Wagner,2021,1,Unavailable,Unknown Method,10.1177/05390184211019831
Social Science,The Dutch Social Science Council,H.M. Jolles,1964,0,Unavailable,Unknown Method,10.1177/053901846400300305
Social Science,Changes at Social Science &amp; Medicine,Ellen Annandale,2008,0,Unavailable,Unknown Method,10.1016/j.socscimed.2008.07.026
Social Science,Applied History and Social Science,Peter N. Stearns,1982,0,Unavailable,Unknown Method,10.1017/s0145553200019404
Social Science,Restricted Social Science at the National Science Foundation,,1992,0,Unavailable,Unknown Method,10.1093/sw/37.2.184
Social Science,INDEX to SOCIAL SCIENCE COMPUTER REVIEW,,2004,0,Unavailable,Unknown Method,10.1177/089443930402200413
Social Science,International Social Science Council (Issc),Hans D. Klingemann,1970,0,Unavailable,Unknown Method,10.1177/053901847000900610
Social Science,The Swedish Council for Social Science Research,,1967,0,Unavailable,Unknown Method,10.1177/053901846700600221
Social Science,Call for Papers: Social Science History Association 1987 Meeting,,1986,1,Unavailable,Unknown Method,10.1017/s0145553200015480
Literature,Italian-American Literature,,2021,0,Unavailable,Experiment,10.1093/obo/9780199827251-0221
Literature,New Netherland Literature,,2022,0,Unavailable,Unknown Method,10.1093/obo/9780199827251-0069
Literature,Adventure Literature,Kate Holterhoff,2023,0,Unavailable,Unknown Method,10.1093/obo/9780199799558-0194
Literature,Bulgarian Literature: Beyond World Literature into Global Literature,Emiliya Dvoryanova,2020,0,Unavailable,Unknown Method,10.5040/9781501348136.ch-011
Literature,Ecology in Victorian Literature,,2021,0,Unavailable,Unknown Method,10.1093/obo/9780199799558-0161
Literature,Children's Literature and Young Adult Literature in Ireland,Jane Suzanne Carroll,2024,0,Unavailable,Unknown Method,10.1093/obo/9780199846719-0201
Literature,Pastoral in Victorian Literature,Mark Frost,2024,0,Unavailable,Unknown Method,10.1093/obo/9780199799558-0214
Literature,Urban Literature,Lisa Robertson,2023,0,Unavailable,"Experiment, Theoretical",10.1093/obo/9780199846719-0195
Literature,MEDIALITY AND LITERATURE,Morten Kyndrup,2012,1,Unavailable,Unknown Method,10.2307/jj.608233.6
Literature,Introduction: Danish Literature as World Literature,,2012,0,Unavailable,Unknown Method,10.5040/9781501310041.ch-001
Literature,American Literature as World Literature: An Introduction,,2012,0,Unavailable,Unknown Method,10.5040/9781501332296-005
Literature,Taiwanese Literature in Two Transnational Contexts: Sinophone Literature and World Literature,Kuei-fen Chiu,2022,0,Unavailable,Unknown Method,10.5040/9781501381379.ch-1
Literature,Literature in the Plural,,2022,0,Unavailable,Unknown Method,10.5040/9781501327940.pt-002
Literature,Myth and Victorian Literature,Essaka Joshua,2018,0,Unavailable,Unknown Method,10.1093/obo/9780199799558-0147
Literature,English Reformation Literature,,2022,0,Unavailable,Experiment,10.1093/obo/9780199846719-0184
Literature,Whiteness in Victorian Literature,Alisha R. Walters,2023,0,Unavailable,Unknown Method,10.1093/obo/9780199799558-0198
Literature,World Literature as Persian Literature,Navid Naderi,2021,0,Unavailable,Unknown Method,10.5040/9781501354236.ch-13
Literature,Arabic Literature and World Literature,Reuven Snir,2023,0,Unavailable,Theoretical,10.3366/edinburgh/9781399503259.003.0010
Literature,Literature of the 'Thirties,,2021,0,Unavailable,Unknown Method,10.1093/obo/9780199846719-0178
Literature,Proletarian Literature,Robert Niemi,2017,0,Unavailable,Unknown Method,10.1093/acrefore/9780190201098.013.622
Literature,Children's Literature,Sam Pickering,2017,0,Unavailable,Unknown Method,10.1093/acrefore/9780190201098.013.598
Literature,"African Literature, World Literature, and Francophonie",Bertrand Westphal,2020,0,Unavailable,Unknown Method,10.5040/9781501347177.0007
Literature,Catholic Literature,"Lucy Underwood, Eilish Gregory",2022,0,Unavailable,Unknown Method,10.1093/obo/9780199846719-0189
