Author Name,Title,Year,Cited By,Subject of Study,Research Method
Noam Chomsky,"Deep structure, surface structure, and semantic interpretation",1971,2609,Language,Unknown Method
Noam Chomsky,Bare phrase structure,1995,2562,Unknown Subject,Unknown Method
Noam Chomsky,On certain formal properties of grammars,1959,2515,Language,Unknown Method
Noam Chomsky,Media control: The spectacular achievements of propaganda,2011,2287,Unknown Subject,Unknown Method
Noam Chomsky,Problems of projection,2013,2194,Language,Unknown Method
Noam Chomsky,Approaching UG from below,2007,2182,Language,Unknown Method
Noam Chomsky,On Nature and language,2002,2045,Language,Theoretical
Noam Chomsky,Principles and Parameters in Syntactic Theory,1981,1947,Unknown Subject,Unknown Method
Noam Chomsky,Hegemony or survival: America's quest for global dominance,2003,1942,Unknown Subject,Unknown Method
Noam Chomsky,Necessary illusions: Thought control in democratic societies,1995,1937,Unknown Subject,Unknown Method
Noam Chomsky,On binding,1980,1868,Language,Unknown Method
Noam Chomsky,Finitary models of language users,1963,1727,Language,Unknown Method
Noam Chomsky,Aspectos da teoria da sintaxis,1970,1502,Unknown Subject,Unknown Method
Noam Chomsky,Constraints on rules of grammar,1976,1389,"Mathematics, Language",Unknown Method
Noam Chomsky,Aspekte der syntax-theorie,1970,1382,Unknown Subject,Unknown Method
Noam Chomsky,Formal properties of grammars,1963,1232,Unknown Subject,Unknown Method
Noam Chomsky,Introduction to the formal analysis of natural languages,1968,1229,"Mathematics, Language",Unknown Method
Noam Chomsky,Language and responsibility: Based on conversations with Mitsou Ronat,1979,1216,Language,Unknown Method
Noam Chomsky,The algebraic theory of context-free languages,1959,1202,Language,Unknown Method
Noam Chomsky,Language and nature,1995,1198,Language,Unknown Method
Noam Chomsky,The evolution of the language faculty: clarifications and implications,2005,1188,Language,Unknown Method
Noam Chomsky,Why only us: Language and evolution,2016,1135,Language,Unknown Method
Noam Chomsky,Essays on form and interpretation,1977,1095,Unknown Subject,Unknown Method
Noam Chomsky,Deterring democracy,1992,1085,Unknown Subject,Unknown Method
Noam Chomsky,Estructuras sintácticas,2004,1073,Unknown Subject,Unknown Method
Noam Chomsky,American power and the new mandarins,2003,1066,Unknown Subject,Unknown Method
Noam Chomsky,Topics in the theory of Generative Grammar,1966,1056,Unknown Subject,Unknown Method
Noam Chomsky,Categories and transformations,1995,1006,Unknown Subject,Unknown Method
Noam Chomsky,Failed states: The abuse of power and the assault on democracy,2007,978,Unknown Subject,Unknown Method
Noam Chomsky,The new military humanism: Lessons from Kosovo,2000,977,Unknown Subject,Unknown Method
Noam Chomsky,The Washington connection and third world fascism,1979,969,Unknown Subject,Unknown Method
Noam Chomsky,"The native speaker is dead!: An informal discussion of a linguistic myth with Noam Chomsky and other linguists, philosophers, psychologists, and lexicographers",1985,907,"Mathematics, Language",Unknown Method
Noam Chomsky,Problems of projection: Extensions,2015,889,Unknown Subject,Unknown Method
Noam Chomsky,"Fateful Triangle: The United States, Israel, and the Palestinians",1999,882,Unknown Subject,Unknown Method
Noam Chomsky,"Los guardianes de la libertad: propaganda, desinformación y consenso en los medios de comunicación de masas",1990,878,Unknown Subject,Unknown Method
Noam Chomsky,Language and thought,1993,868,Language,Unknown Method
Noam Chomsky,"World orders, old and new",1996,803,Language,Unknown Method
Noam Chomsky,Problems of knowledge and freedom,1973,799,"Mathematics, Language",Unknown Method
Noam Chomsky,"Evolution, brain, and the nature of language",2013,778,Language,Unknown Method
Noam Chomsky,Year 501: The conquest continues,2015,743,Unknown Subject,Unknown Method
Noam Chomsky,El lenguaje y el entendimiento,1986,735,Unknown Subject,Unknown Method
Noam Chomsky,La (des) educación,2007,677,Unknown Subject,Unknown Method
Noam Chomsky,Aspects de la théorie syntaxique,1971,664,Unknown Subject,Unknown Method
Noam Chomsky,"La sociedad global: educación, mercado y democracia",1996,654,Unknown Subject,Unknown Method
Noam Chomsky,Chomsky on miseducation,2000,646,Unknown Subject,Unknown Method
Noam Chomsky,Rogue states: The rule of force in world affairs,2015,635,Unknown Subject,Unknown Method
Noam Chomsky,On phases. ms,2005,623,Unknown Subject,Unknown Method
Noam Chomsky,Language and politics,2004,618,Language,Unknown Method
Noam Chomsky,Understanding power: the indispensable Chomsky,2002,618,Unknown Subject,Unknown Method
Noam Chomsky,Powers and prospects: Reflections on nature and the social order,2015,608,Language,Unknown Method
Noam Chomsky,Lingüística cartesiana: un capítulo de la historia del pensamiento racionalista,1969,601,Unknown Subject,Unknown Method
Noam Chomsky,Some Simple Evo Devo Theses: How True Might They Be for Language?,2010,596,Language,Unknown Method
Noam Chomsky,Some empirical issues in the theory of transformational grammar,1970,591,Unknown Subject,Unknown Method
Noam Chomsky,A special supplement: The responsibility of intellectuals,1967,587,Unknown Subject,Unknown Method
Noam Chomsky,The architecture of language,2000,582,Language,Unknown Method
Noam Chomsky,Finite state languages,1958,581,Language,Unknown Method
Noam Chomsky,Cómo nos venden la moto,1995,579,Unknown Subject,Unknown Method
Noam Chomsky,Culture of terrorism,2015,564,Unknown Subject,Unknown Method
Noam Chomsky,The Chomsky-Foucault debate: on human nature,2015,563,Unknown Subject,Unknown Method
Noam Chomsky,Aspects ofthe theory ofsyntax,1965,562,Unknown Subject,Unknown Method
Noam Chomsky,Occupy,2012,558,Unknown Subject,Unknown Method
Noam Chomsky,The biolinguistic program: The current state of its development,2011,545,Unknown Subject,Unknown Method
Noam Chomsky,On the generative enterprise: a discussion with Riny Huybregts and Henk van Riemsdijk,1982,534,Unknown Subject,Unknown Method
Noam Chomsky,Some controversial questions in phonological theory,1965,532,Unknown Subject,Unknown Method
Noam Chomsky,Structures syntaxiques,1969,529,Unknown Subject,Unknown Method
Noam Chomsky,Ken Hale: A life in language,2001,514,Language,Unknown Method
Noam Chomsky,O lucro ou as pessoas?: neoliberalismo e ordem global,2018,509,Unknown Subject,Unknown Method
Noam Chomsky,The cold war & the university,1997,492,Unknown Subject,Unknown Method
Noam Chomsky,Some methodological remarks on generative grammar,1961,491,Language,Unknown Method
Noam Chomsky,On cognitive structures and their development: A reply to Piaget,1980,487,Unknown Subject,Unknown Method
Noam Chomsky,"Generative grammar and the faculty of language: Insights, questions, and challenges",2019,469,Language,Unknown Method
Noam Chomsky,"Pirates and emperors, old and new: International terrorism in the real world",2015,463,Unknown Subject,Unknown Method
Noam Chomsky,The mystery of language evolution,2014,463,Language,Modeling
Noam Chomsky,Le langage et la pensée,1970,462,Language,Unknown Method
Noam Chomsky,A transformational approach to syntax,1962,458,Unknown Subject,Unknown Method
Noam Chomsky,Turning the tide: US intervention in Central America and the struggle for peace,2015,452,Unknown Subject,Unknown Method
Noam Chomsky,"El conocimiento del lenguaje. Su naturaleza, origen y uso",1985,452,Unknown Subject,Unknown Method
Noam Chomsky,7. the logical basis of linguistic theory,2013,450,Language,Unknown Method
Noam Chomsky,Sprache und Geist,1979,447,"Mathematics, Language",Unknown Method
Noam Chomsky,Linguistics and cognitive science: Problems and mysteries,1991,443,"Mathematics, Language",Unknown Method
Noam Chomsky,The science of language: interviews with James McGilvray,2012,436,Language,Unknown Method
Noam Chomsky,Step by step: Essays on minimalist syntax in honor of Howard Lasnik,2000,435,Unknown Subject,Unknown Method
Noam Chomsky,Who rules the world?,2016,420,Unknown Subject,Unknown Method
Noam Chomsky,Biologische Grundlagen der Sprache,1972,420,Unknown Subject,Unknown Method
Noam Chomsky,How could language have evolved?,2014,419,Language,Unknown Method
Noam Chomsky,Recent contributions to the theory of innate ideas: Summary of oral presentation,1967,407,Unknown Subject,Unknown Method
Noam Chomsky,For reasons of state,2003,406,Unknown Subject,Unknown Method
Noam Chomsky,"On the nature, use, and acquisition of language",1998,402,"Language, Sciences",Unknown Method
Noam Chomsky,What makes mainstream media mainstream,1997,401,Unknown Subject,Unknown Method
Noam Chomsky,On accent and juncture in English,1956,400,Unknown Subject,Unknown Method
Noam Chomsky,Quine’s empirical assumptions,1969,398,Language,Unknown Method
Noam Chomsky,The formal nature of language,1967,398,Language,Unknown Method
Noam Chomsky,Explanatory models in linguistics,1966,397,Language,Unknown Method
Noam Chomsky,Aspects of the theory of syntax (Vol. 11),1965,395,Unknown Subject,Unknown Method
Noam Chomsky,Fundamentos biológicos del lenguaje,1975,389,Language,Unknown Method
Noam Chomsky,The chomsky reader,2010,385,Unknown Subject,Unknown Method
Noam Chomsky,El lenguaje y los problemas del conocimiento: conferencias de Managua 1,2019,382,Unknown Subject,Unknown Method
Noam Chomsky,Poverty of the stimulus revisited,2011,382,Language,Unknown Method
Noam Chomsky,What Kind of Creatures Are We? Columbia University Press,2015,380,Unknown Subject,Unknown Method
Noam Chomsky,Of minds and language,2007,374,"Language, Sciences",Unknown Method
Noam Chomsky,The sound pattern of English,1968,372,Unknown Subject,Unknown Method
Noam Chomsky,"On the notion"" rule of grammar""",1961,371,Unknown Subject,Unknown Method
Noam Chomsky,Questions of form and interpretation,1975,368,Unknown Subject,Survey
Noam Chomsky,"Théories du langage, théories de l'apprentissage",2020,366,Unknown Subject,Unknown Method
Noam Chomsky,Reflexiones sobre el lenguaje,1979,359,Language,Unknown Method
Noam Chomsky,Chomsky on democracy & education,2003,354,Language,Theoretical
Noam Chomsky,On language: Chomsky's classic works language and responsibility and reflections on language in one volume,1998,354,Language,Unknown Method
Noam Chomsky,On power and ideology: The Managua lectures,2015,348,Unknown Subject,Unknown Method
Noam Chomsky,Language and other cognitive systems. What is special about language?,2011,345,Language,Unknown Method
Noam Chomsky,Morphophonemics of Modern Hebrew (Routledge Revivals),2013,341,Language,Unknown Method
Noam Chomsky,El programa minimalista,1999,341,Language,Unknown Method
Noam Chomsky,"Lectures on government and binding, foris, dordrecht",1981,329,Unknown Subject,Unknown Method
Noam Chomsky,Mídia: propaganda política e manipulação,2015,326,Unknown Subject,Unknown Method
Noam Chomsky,Beyond explanatory adequacy. Ms,2001,326,Unknown Subject,Unknown Method
Noam Chomsky,"Language, mind and brain",2017,323,Language,Unknown Method
Noam Chomsky,Towards a new cold war: Essays on the current crisis and how we got there,1982,317,Unknown Subject,Unknown Method
Noam Chomsky,Rızanın imalatı: Kitle medyasının ekonomi politiği,2012,316,Unknown Subject,Unknown Method
Noam Chomsky,The common good,1998,313,Unknown Subject,Unknown Method
Noam Chomsky,Syntactic structures. The Hague: Mouton.. 1965. Aspects of the theory of syntax,1957,309,Unknown Subject,Unknown Method
Noam Chomsky,The case against BF Skinner,1971,303,Unknown Subject,Unknown Method
Noam Chomsky,Logical syntax and semantics: Their linguistic relevance,1955,290,Language,Unknown Method
Noam Chomsky,Regeln und Repräsentationen,1981,280,Unknown Subject,Unknown Method
Noam Chomsky,Reflexões sobre a linguagem,1977,280,Unknown Subject,Unknown Method
Noam Chomsky,"Structures, not strings: Linguistics as part of the cognitive sciences",2015,278,"Language, Sciences",Unknown Method
Noam Chomsky,Imperial ambitions: Conversations on the post-9/11 world,2010,278,Unknown Subject,Unknown Method
Noam Chomsky,Chomsky on anarchism,2010,277,Unknown Subject,Unknown Method
Noam Chomsky,[the development of grammar in child language]: discussion,1964,275,Language,Unknown Method
Noam Chomsky,Linguagem e pensamento,1971,273,Unknown Subject,Unknown Method
Noam Chomsky,Ilusiones necesarias,1992,271,Unknown Subject,Unknown Method
Noam Chomsky,El nuevo orden mundial (y el viejo),1996,269,Unknown Subject,Unknown Method
Noam Chomsky,"Biolinguistic explorations: Design, development, evolution",2007,263,Language,Unknown Method
Noam Chomsky,Context-free grammars and pushdown storage,1962,262,Unknown Subject,Unknown Method
Noam Chomsky,Medya gerçeği,1993,258,Unknown Subject,Unknown Method
Noam Chomsky,Modular Approaches to the Study of the Mind,1984,254,Unknown Subject,Unknown Method
Noam Chomsky,Degrees of grammaticalness,1964,254,Unknown Subject,Unknown Method
Noam Chomsky,Phonology and reading,1970,250,Unknown Subject,Unknown Method
Noam Chomsky,"Some Observations on Economy in Generative Grammar Noam Chomsky, Massachusetts Institute of Technology",1998,247,Unknown Subject,Unknown Method
Noam Chomsky,Réflexions sur le langage,1977,247,Unknown Subject,Unknown Method
Noam Chomsky,What uncle Sam really wants,1992,242,Unknown Subject,Theoretical
Noam Chomsky,Why only us,2016,239,Unknown Subject,Unknown Method
Noam Chomsky,Power and terror,2003,239,Unknown Subject,Unknown Method
Noam Chomsky,Requiem for the American dream: The 10 principles of concentration of wealth & power,2017,235,Unknown Subject,Unknown Method
Noam Chomsky,On the representation of form and function,1981,235,Language,Unknown Method
Noam Chomsky,La linguistique cartésienne,1969,235,Unknown Subject,Unknown Method
Noam Chomsky,"The Generative Enterprise Revisited: Discussions with Riny Huybregts, Henk van Riemsdijk, Naoki Fukui and Mihoko Zushi",2011,233,Language,Unknown Method
Noam Chomsky,"A new generation draws the line: Kosovo, East Timor and the standards of the West",2000,232,Unknown Subject,Unknown Method
Noam Chomsky,El beneficio es lo que cuenta: neoliberalismo y orden social,2014,231,Unknown Subject,Unknown Method
Noam Chomsky,Hopes and prospects,2010,228,Unknown Subject,Survey
Noam Chomsky,"Mediji, propaganda i sistem",2002,227,Unknown Subject,Unknown Method
Noam Chomsky,La aldea global,1997,223,Unknown Subject,Unknown Method
Noam Chomsky,El miedo a la democracia,2017,214,Unknown Subject,Unknown Method
Noam Chomsky,Propaganda and the public mind,2015,214,Unknown Subject,Unknown Method
Noam Chomsky,Linguistics and philosophy,1969,212,"Mathematics, Language",Unknown Method
Noam Chomsky,El control de los medios de comunicación,2003,211,Unknown Subject,Unknown Method
Noam Chomsky,After the cataclysm: Postwar Indochina and the reconstruction of imperial ideology,2014,210,Unknown Subject,Unknown Method
Noam Chomsky,La naturaleza humana: justicia versus poder: un debate,2006,209,Language,Unknown Method
Noam Chomsky,Human language and other semiotic systems,1979,209,"Language, Sciences",Unknown Method
Noam Chomsky,Foundational issues in linguistic theory: Essays in honor of Jean-Roger Vergnaud,2008,208,Unknown Subject,Unknown Method
Noam Chomsky,Dil ve zihin,2002,208,Unknown Subject,Unknown Method
Noam Chomsky,On the nature of language,1976,208,Language,Unknown Method
Noam Chomsky,How the world works,2011,202,Unknown Subject,Unknown Method
Noam Chomsky,La fabrique du consentement,2008,201,Unknown Subject,Unknown Method
Noam Chomsky,Linguistics and adjacent fields: a personal view,1991,200,Unknown Subject,Unknown Method
Noam Chomsky,Reflexionen über die Sprache,1979,200,"Mathematics, Language",Unknown Method
Noam Chomsky,Explaining language use,1992,197,Language,Theoretical
Noam Chomsky,Reglas y representaciones,1983,197,Unknown Subject,Unknown Method
Noam Chomsky,Estados Fallidos: El abuso de poder y ataque a la democracia,2017,195,Unknown Subject,Unknown Method
Noam Chomsky,Aspects of the Theory of Syntax,1965,195,Unknown Subject,Unknown Method
Noam Chomsky,Novos horizontes no estudo da linguagem e da mente,2005,188,Unknown Subject,Unknown Method
Noam Chomsky,Class warfare,1996,185,Engineering,Unknown Method
Noam Chomsky,On anarchism,2013,184,Unknown Subject,Unknown Method
Noam Chomsky,"The growth of language: Universal Grammar, experience, and principles of computation",2017,183,Language,Unknown Method
Noam Chomsky,Workers' councils,2003,183,Unknown Subject,Unknown Method
Noam Chomsky,"O conhecimento da língua: sua natureza, origem e uso",1994,182,Unknown Subject,Unknown Method
Noam Chomsky,A festschrift for Morris Halle,1973,182,Unknown Subject,Unknown Method
Noam Chomsky,Formal syntax,1977,179,Unknown Subject,Unknown Method
Noam Chomsky,At war with Asia,2005,178,Unknown Subject,Unknown Method
Noam Chomsky,International terrorism: Image and reality,1987,173,Unknown Subject,Unknown Method
Noam Chomsky,Systems of syntactic analysis,1953,173,Language,Experiment
Noam Chomsky,The Essential Chomsky,2011,172,Language,Unknown Method
Noam Chomsky,Linguagem e mente: pensamentos atuais sobre antigos problemas.,1998,171,Unknown Subject,Unknown Method
Noam Chomsky,Estados canallas,2002,170,Unknown Subject,Unknown Method
Noam Chomsky,Novas e velhas ordens mundiais,1996,168,Unknown Subject,Unknown Method
Noam Chomsky,Psychology and ideology,2023,167,Engineering,Unknown Method
Noam Chomsky,"Perilous power: The middle East and US foreign policy dialogues on terror, democracy, war, and justice",2015,167,Unknown Subject,Unknown Method
Noam Chomsky,Human nature: Justice versus power,1974,166,Unknown Subject,Unknown Method
Noam Chomsky,Knowledge of language: Its elements and origins,1981,165,Language,Unknown Method
Noam Chomsky,Markedness and core grammar,1981,164,Unknown Subject,Unknown Method
Noam Chomsky,Política y cultura a finales del siglo XX: un panorama de las actuales tendencias,1994,160,Language,Unknown Method
Noam Chomsky,"Rethinking Camelot: JFK, the Vietnam War, and US political culture",1993,160,Unknown Subject,Case study
Noam Chomsky,Medya denetimi,2005,159,Unknown Subject,Unknown Method
Noam Chomsky,Gaza in crisis: reflections on Israel's war against the Palestinians,2013,158,Unknown Subject,Unknown Method
Noam Chomsky,On the biological basis of language capacities,1976,155,Language,Unknown Method
Noam Chomsky,Mentalism and Behavior in Language in a psychological setting,1987,153,Language,Unknown Method
Noam Chomsky,A note on phrase structure grammars,1959,153,Language,Unknown Method
Noam Chomsky,Problemas actuales en teoría lingüística: temas teóricos de gramática generativa,1977,152,Unknown Subject,Unknown Method
Noam Chomsky,Hegemonía o supervivencia: la estrategia imperialista de Estados Unidos,2016,151,Unknown Subject,Unknown Method
Noam Chomsky,Objectivity and liberal scholarship,2003,151,Unknown Subject,Unknown Method
Noam Chomsky,1971,1965,151,Unknown Subject,Unknown Method
Noam Chomsky,Some general properties of phonological rules,1967,149,Language,Unknown Method
Noam Chomsky,La responsabilidad de los intelectuales,2020,146,Unknown Subject,Unknown Method
Noam Chomsky,Mondattani szerkezetek; Nyelv és elme,1995,146,Unknown Subject,Unknown Method
Noam Chomsky,Humanitarian imperialism,2008,145,Unknown Subject,Unknown Method
Noam Chomsky,Language and mind: current thoughts on ancient problems,2004,143,Language,Unknown Method
Noam Chomsky,Readings in English transformational grammar,1970,143,Unknown Subject,Unknown Method
Noam Chomsky,Chronicles of dissent,2022,141,Unknown Subject,Unknown Method
Noam Chomsky,Sintáctica y semántica en la gramática generativa,1979,141,Unknown Subject,Unknown Method
Noam Chomsky,Minimal recursion: exploring the prospects,2014,140,Language,Unknown Method
Noam Chomsky,Logical structure in language,1957,136,Language,Unknown Method
Noam Chomsky,On Palestine,2015,135,Unknown Subject,Unknown Method
Noam Chomsky,An interview on minimalism,2002,135,Language,Unknown Method
Noam Chomsky,"Knowledge of language: its origin, nature and use",1986,135,Language,Unknown Method
Noam Chomsky,La arquitectura del lenguaje,2003,133,Unknown Subject,Unknown Method
Noam Chomsky,Una aproximación naturalista: a la mente y al lenguaje,1998,132,Unknown Subject,Unknown Method
Noam Chomsky,The prosperous few and the restless many,1993,130,Unknown Subject,Unknown Method
Noam Chomsky,Zagadnienia teorii składni,1982,130,Unknown Subject,Unknown Method
Noam Chomsky,The general properties of language,1967,129,Language,Unknown Method
Noam Chomsky,198 1,1968,127,Engineering,Unknown Method
Noam Chomsky,The language capacity: architecture and evolution,2017,126,Language,Unknown Method
Noam Chomsky,Poverty of Stimulus: Unfinished Business.,2012,126,Language,Unknown Method
Noam Chomsky,Sobre la naturaleza y el lenguaje,2003,125,Unknown Subject,Unknown Method
Noam Chomsky,The manufacture of consent,1986,124,Unknown Subject,Unknown Method
Noam Chomsky,"Conditions on transformations. A festschrift for Morris Halle, ed. by Stephen R. Anderson and Paul Kiparsky, 232-86",1973,124,Unknown Subject,Unknown Method
Noam Chomsky,A manipulação do público: política e poder econômico no uso da mídia,2003,123,Unknown Subject,Unknown Method
Noam Chomsky,Power systems: Conversations on global democratic uprisings and the new challenges to US empire,2013,122,Unknown Subject,Unknown Method
Noam Chomsky,Linguaggio e problemi della conoscenza,2020,119,Unknown Subject,Unknown Method
Noam Chomsky,The mysteries of nature: How deeply hidden?,2010,119,Unknown Subject,Theoretical
Noam Chomsky,"Secretos, mentiras y democracia",1997,119,Unknown Subject,Unknown Method
Noam Chomsky,<< Le>> strutture della sintassi,2020,118,Unknown Subject,Unknown Method
Noam Chomsky,"Masters of mankind: Essays and lectures, 1969-2013",2014,118,Unknown Subject,Unknown Method
Noam Chomsky,Handbook of Mathematical Psychology,1963,118,Unknown Subject,Unknown Method
Noam Chomsky,Radical priorities,1981,117,Unknown Subject,Unknown Method
Noam Chomsky,Poverty of the stimulus stands: Why recent challenges fail,2013,116,Unknown Subject,Unknown Method
Noam Chomsky,Latin America: From colonization to globalization,1999,116,Unknown Subject,Unknown Method
Noam Chomsky,"Propagande, médias et démocratie",2000,115,Unknown Subject,Unknown Method
Noam Chomsky,The role of institutional investors in the evolution of financial structure and behaviour,1996,115,Unknown Subject,Unknown Method
Noam Chomsky,"On wh movement. Formal syntax, ed. by Peter W. Culicover, Thomas Wasow, and Adrian Akmajian, 71-132",1977,114,Unknown Subject,Unknown Method
Noam Chomsky,Sobre democracia y educación,2005,113,Unknown Subject,Unknown Method
Noam Chomsky,Language and freedom,1999,113,Language,Theoretical
Noam Chomsky,La nouvelle syntaxe: concepts et conséquences de la théorie du gouvernement et du liage,1987,111,Unknown Subject,Unknown Method
Noam Chomsky,Dialogues avec Mitsou Ronat,1977,111,"Mathematics, Language",Unknown Method
Noam Chomsky,Principles and Parameters in Syntactic Theory in Explanation in Linguistics. The Logical Problem of Language Acquisition.,1981,110,Language,Unknown Method
Noam Chomsky,What we say goes,2007,108,Unknown Subject,Unknown Method
Noam Chomsky,Contendo a democracia,2003,108,Unknown Subject,Unknown Method
Noam Chomsky,"Derivation by phase. Ken Hale: A life in language, ed. by Michael Kenstowicz, 1-52",2001,108,Language,Unknown Method
Noam Chomsky,La fabbrica del consenso. Ovvero la politica dei mass media,2008,107,Unknown Subject,Unknown Method
Noam Chomsky,"Secrets, lies and democracy",1994,107,Unknown Subject,Unknown Method
Noam Chomsky,Middle East Illusions: including peace in the Middle East?: reflections on justice and nationhood,2003,105,Unknown Subject,Unknown Method
Noam Chomsky,Linguistics and brain science,1999,105,Unknown Subject,Unknown Method
Noam Chomsky,O que o Tio Sam realmente quer,1999,104,Unknown Subject,Unknown Method
Noam Chomsky,Quem manda no mundo?,2017,103,Unknown Subject,Unknown Method
Noam Chomsky,"Naturalism and dualism in the study of language and mind: Agnes Cuming Lecture, 1993 (University College Dublin)",1994,103,Language,Unknown Method
Noam Chomsky,Keeping the rabble in line: interviews with David Barsamian,1994,103,Unknown Subject,Unknown Method
Noam Chomsky,Sobre natureza e linguagem,2006,102,Unknown Subject,Unknown Method
Noam Chomsky,Manufacturing consent: A propaganda model,1988,102,Unknown Subject,Unknown Method
Noam Chomsky,"Teorias da linguagem, teorias da aprendizagem",1987,102,Unknown Subject,Unknown Method
Noam Chomsky,A democracia e os mercados na nova ordem mundial,2000,101,Unknown Subject,Unknown Method
Noam Chomsky,Sprache als Organ und Sprache als Lebensform,1985,101,"Mathematics, Language",Unknown Method
Noam Chomsky,Peace in the Middle East?: Reflections on justice and nationhood,1974,101,Unknown Subject,Unknown Method
Noam Chomsky,The current scene in linguistics: Present directions,1966,101,Unknown Subject,Unknown Method
Noam Chomsky,Controle da mídia: os espetaculares feitos da propaganda,2003,99,Unknown Subject,Unknown Method
Noam Chomsky,Interfaces+ recursion= language? Chomsky's minimalism and the view from syntax-semantics,2007,98,Language,Unknown Method
Noam Chomsky,Language and unconscious knowledge,1978,98,Language,Unknown Method
Noam Chomsky,Rules and representations,2005,96,"Language, Sciences",Unknown Method
Noam Chomsky,Questions de sémantique,1975,96,Unknown Subject,Unknown Method
Noam Chomsky,On western terrorism: from Hiroshima to drone warfare,2013,94,Unknown Subject,Unknown Method
Noam Chomsky,Interventions,2008,93,Unknown Subject,Unknown Method
Noam Chomsky,Government and binding theory and the minimalist program,1994,93,Unknown Subject,Unknown Method
Noam Chomsky,El terror como política exterior de Estados Unidos,2005,92,Unknown Subject,Unknown Method
Noam Chomsky,Sep-11,2002,92,Unknown Subject,Unknown Method
Noam Chomsky,The linguistic approach,1980,92,Unknown Subject,Unknown Method
Noam Chomsky,Who are the global terrorists?,2002,91,Unknown Subject,Unknown Method
Noam Chomsky,1965Aspects of the Theory of Syntax,1976,91,Unknown Subject,Unknown Method
Noam Chomsky,Persistent topics in linguistic theory,1965,91,Language,Unknown Method
Noam Chomsky,"Théories du langage, théories de l'apprentissage: le débat entre Jean Piaget et Noam Chomsky",1979,90,Unknown Subject,Unknown Method
Noam Chomsky,Language and the problem of knowledge,1988,89,Language,Unknown Method
Noam Chomsky,A remark on contraction,1978,89,Unknown Subject,Unknown Method
Noam Chomsky,Principes de phonologia générative,1973,89,Language,Unknown Method
Noam Chomsky,Language architecture and its import for evolution,2017,88,Language,Unknown Method
Noam Chomsky,"Optimism over despair: On capitalism, empire, and social change",2017,88,Unknown Subject,Unknown Method
Noam Chomsky,Barriers (linguistic inquiry monograph 13),1986,88,Unknown Subject,Unknown Method
Noam Chomsky,"Teorías del lenguaje, teorías del aprendizaje",1983,88,Unknown Subject,Unknown Method
Noam Chomsky,Some concepts and consequences ofthe theory of government and binding,1982,88,Unknown Subject,Unknown Method
Noam Chomsky,O império americano: hegemonia ou sobrevivência,2004,87,Unknown Subject,Unknown Method
Noam Chomsky,The structure of language: Readings in the philosophy of language,1964,87,Language,Unknown Method
Noam Chomsky,¿ Quién domina el mundo?,2016,86,Unknown Subject,Unknown Method
Noam Chomsky,Some core contested concepts,2015,86,Language,Unknown Method
