Author Name,ORCID ID,Title,DOI,Year,Citations,Research Method
Charles Post,http://orcid.org/0000-0002-1329-5499,Turkey’s Road to Capitalism: Issues in Multilinear Historical Sociology,10.1177/08969205241232945,2024,0,Unknown Method
Howard Ramos,http://orcid.org/0000-0002-7174-9487,Uncritical sociology: Canadian sociology at the crossroads?,10.1111/cars.12455,2023,0,Unknown Method
Atef Said,http://orcid.org/0000-0002-6150-5147,A sociology of counter‐revolution in Egypt,10.1111/soc4.12916,2021,14,Case study
Christopher J. Schneider,http://orcid.org/0000-0001-9737-2254,Promoting public sociology in the sociology curriculum,10.4337/9781800374386.00042,2023,0,Unknown Method
Zarine L. Rocha,http://orcid.org/0000-0003-0284-7144,Sociology Compass Editorial 2023,10.1111/soc4.13059,2022,0,Unknown Method
Ali Meghji,http://orcid.org/0000-0001-8311-3155,Sociology Compass Editorial 2023,10.1111/soc4.13059,2022,0,Unknown Method
Filippo Reale,http://orcid.org/0000-0001-9809-484X,Principles of an economic sociology of innovation,10.1111/soc4.13247,2024,0,Unknown Method
Jessica A. Leveto,http://orcid.org/0000-0002-8689-0598,Toward a sociology of autism and neurodiversity,10.1111/soc4.12636,2018,11,Theoretical
Kathleen Rodgers,http://orcid.org/0000-0001-9004-926X,Unsettling Sociology Curriculum: Indigenous Content in Introductory Sociology Textbooks,10.1177/0092055x241248185,2024,0,Unknown Method
Willow Scobie,No ORCID,Unsettling Sociology Curriculum: Indigenous Content in Introductory Sociology Textbooks,10.1177/0092055x241248185,2024,0,Unknown Method
Sari Hanafi,http://orcid.org/0000-0001-6953-6266,Global sociology revisited: Toward new directions,10.1177/0011392119869051,2019,21,Unknown Method
Nathan Katz,http://orcid.org/0000-0003-2886-9720,Beyond donors: Toward a sociology of campaign expenditures,10.1111/soc4.12968,2022,1,Unknown Method
Dmitri Shalin,http://orcid.org/0000-0002-2793-9531,"Goffman, Chicago sociology, and the classical canon",10.1177/1468795x241230518,2024,0,Theoretical
Rahsaan Mahadeo,http://orcid.org/0009-0005-6866-6364,A Call for Counter-Public Sociology,10.1177/08969205231195105,2023,2,Unknown Method
Kieran Keohane,http://orcid.org/0000-0003-2792-5479,Reflections on sociology in Ireland. Between melancholy and hope: A mission for Irish Sociology,10.1177/07916035211034055,2021,1,Unknown Method
I. P. Saltanovich,http://orcid.org/0000-0002-1664-9635,Concepts of culture of digital society in contemporary sociology,10.26425/2658-347x-2024-7-1-26-31,2024,0,Unknown Method
Laura Halcomb,http://orcid.org/0000-0002-6717-7148,Men and infertility: Insights from the sociology of gender,10.1111/soc4.12624,2018,16,Theoretical
Dustin S. Stoltz,http://orcid.org/0000-0002-4774-0765,Imaginative labor and embodied cognition: Economic sociology as a cognitive science,10.1177/00113921241272779,2024,0,Unknown Method
Michel Lallement,http://orcid.org/0000-0002-3625-0058,Towards a Weberian sociology of intentional communities,10.1177/0011392120975444,2021,3,Survey
Hannah Morgan,http://orcid.org/0000-0003-1039-9337,Enabling futures? Disability and sociology of futures,10.1177/14407833241248193,2024,0,Unknown Method
Richard Tutton,No ORCID,Enabling futures? Disability and sociology of futures,10.1177/14407833241248193,2024,0,Unknown Method
Christina Marie Chica,http://orcid.org/0000-0002-0295-1489,Toward a sociology of global comparative placemaking,10.1111/soc4.12911,2021,1,Theoretical
Alan Scott,http://orcid.org/0000-0003-2547-1637,Prodigal offspring: Organizational sociology and organization studies,10.1177/0011392120907639,2020,2,Theoretical
A. A. Zvonok,http://orcid.org/0009-0007-7332-1330,Bayesian modeling of binomial experiments in sociology: problem analysis,10.26425/2658-347x-2024-7-1-14-25,2024,0,"Experiment, Modeling"
Clare Forstie,http://orcid.org/0000-0002-1691-6860,A new framing for an old sociology of intimacy,10.1111/soc4.12467,2017,6,Theoretical
K. A. Ivanov,http://orcid.org/0000-0002-3895-0082,Neighborhood group chats as a subject of offline sociology,10.26425/2658-347x-2023-6-1-39-47,2023,0,Simulation
Craig Calhoun,http://orcid.org/0000-0001-7218-3780,For Sociology: May Our Arguments Unite Us,10.1177/08969205221075652,2022,3,Unknown Method
Christopher Barrie,http://orcid.org/0000-0002-9156-990X,Political sociology in a time of protest,10.1177/00113921211024692,2021,8,Unknown Method
Douglas Harper,http://orcid.org/0000-0002-4682-8044,Documentary photography and   visual sociology,10.4324/9781003251835-2,2023,0,Unknown Method
Chris Ó. Rálaigh,http://orcid.org/0000-0002-0618-1039,A contribution to the critique of Irish sociology,10.1177/07916035231208156,2023,0,Theoretical
Brian Conway,http://orcid.org/0000-0001-6821-7829,The sociology of Catholicism: A review of research and scholarship,10.1111/soc4.12863,2021,6,Unknown Method
Alexander Ebner,http://orcid.org/0000-0001-9207-4653,Innovation in economic evolution: Reintroducing Schumpeterian thought to current advances in economic sociology,10.1177/00113921241271850,2024,0,Unknown Method
Kathryn Daley,http://orcid.org/0000-0003-4295-0533,Sociology and Self-Injury: The State of the Field,10.1177/0038038519897904,2020,0,Unknown Method
Andrew McKinnon,http://orcid.org/0000-0002-2001-5707,Method for an historical political sociology of religion,10.1177/1468795x241257459,2024,0,Unknown Method
Jens O Zinn,http://orcid.org/0000-0002-4992-9123,Introduction: Towards a sociology of pandemics,10.1177/00113921211020771,2021,24,Theoretical
Dominik Želinský,http://orcid.org/0000-0003-0069-4316,The sociology of intellectuals in the 20th and 21st century,10.1111/soc4.12775,2020,3,Unknown Method
Stephanie L. Bradley,http://orcid.org/0000-0003-2103-7323,Financial literacy education: An opportunity for colleges and sociology,10.1111/soc4.12922,2021,6,Unknown Method
Steven R. Brechin,http://orcid.org/0000-0002-3426-4624,Karl Polanyi’s environmental sociology: a primer,10.1080/23251042.2017.1355723,2017,10,Unknown Method
Weston Henry Fenner,No ORCID,Karl Polanyi’s environmental sociology: a primer,10.1080/23251042.2017.1355723,2017,10,Unknown Method
Rebecca Banham,http://orcid.org/0000-0001-8182-4017,"Emotion, vulnerability, ontology: operationalising ‘ontological security’ for qualitative environmental sociology",10.1080/23251042.2020.1717098,2020,22,Qualitative
Armstrong C. Matogwa,http://orcid.org/0000-0002-4190-5098,Revealing Common Misconceptions in Marxian Sociology,10.56279/tajoso.v7i2.64,2021,0,Qualitative
Mariya V. Posadkova,http://orcid.org/0000-0002-9703-0040,Legal status of patients with congenital immunopathologies: practical sociology,10.17816/1728-2810-20-1-69,2021,0,Survey
Julian Go,http://orcid.org/0000-0003-4309-7183,Gramsci in South Africa: On Postcolonial Sociology and Levenson’s <i>Delivery as Dispossession</i>,10.1177/08969205241276824,2024,0,Unknown Method
Christopher Adair-Toteff,http://orcid.org/0000-0002-3274-8529,Hans Kelsen and sociology,10.1177/1468795x221139971,2022,0,Unknown Method
Nik Taylor,http://orcid.org/0000-0003-3736-1443,For an Emancipatory Animal Sociology,10.1177/1440783318815335,2018,10,Unknown Method
Zoei Sutton,No ORCID,For an Emancipatory Animal Sociology,10.1177/1440783318815335,2018,10,Unknown Method
Heather A. Haveman,http://orcid.org/0000-0001-8945-1112,Organizational theory: From classical sociology to the 1970s,10.1111/soc4.12627,2018,12,Theoretical
Rachel Wetts,No ORCID,Organizational theory: From classical sociology to the 1970s,10.1111/soc4.12627,2018,12,Theoretical
Maggie Colleen Cobb,http://orcid.org/0000-0001-7465-7759,Casualties of debate: A critique of the sociology of emotion,10.1111/soc4.12643,2018,1,Unknown Method
Theresa Petray,http://orcid.org/0000-0003-4476-6908,Exploring sociology in the Antipodes : introduction to sociology,10.25120/dtah-r909,2023,0,Theoretical
Nick Osbaldiston,http://orcid.org/0000-0003-0158-1903,Exploring sociology in the Antipodes : introduction to sociology,10.25120/dtah-r909,2023,0,Theoretical
Michael Burawoy,http://orcid.org/0000-0002-7195-7278,The State of US Sociology: From Crisis to Renewal,10.1177/08969205211069419,2022,4,Unknown Method
Melissa F. Weiner,http://orcid.org/0000-0002-3580-6640,Decolonial sociology: W.E.B. Du Bois's foundational theoretical and methodological contributions,10.1111/soc4.12601,2018,19,Theoretical
Jean De Munck,No ORCID,The semiosis and the market: Peirce’s semiotics for economic sociology,10.1177/00113921241271852,2024,0,Case study
Tom Duterme,http://orcid.org/0000-0003-2750-8181,The semiosis and the market: Peirce’s semiotics for economic sociology,10.1177/00113921241271852,2024,0,Case study
Olivera Tesnohlidkova,http://orcid.org/0000-0002-0401-427X,Humor and satire in politics: Introducing cultural sociology to the field,10.1111/soc4.12842,2020,7,Unknown Method
Jens O Zinn,http://orcid.org/0000-0002-4992-9123,Conclusions: Towards a sociology of pandemics and beyond,10.1177/00113921211023518,2021,21,Unknown Method
Josefina Flores Morales,http://orcid.org/0000-0001-5370-1423,Aging and undocumented: The sociology of aging meets immigration status,10.1111/soc4.12859,2021,12,Unknown Method
Nataliya Nedzhvetskaya,http://orcid.org/0000-0003-1576-7346,The evolving role of organizational theory within economic sociology,10.1111/soc4.12747,2020,2,Theoretical
Neil Fligstein,http://orcid.org/0000-0002-7049-6502,The evolving role of organizational theory within economic sociology,10.1111/soc4.12747,2020,2,Theoretical
David Fasenfest,http://orcid.org/0000-0003-2708-7938,The Challenge for Sociology: The Value of the Critique,10.1177/08969205221075654,2022,1,Unknown Method
Amina Zarrugh,http://orcid.org/0000-0003-4277-4656,Toward a sociology of family movements: Lessons from the Global South,10.1111/soc4.12976,2022,4,Unknown Method
Geoffrey Mead,http://orcid.org/0000-0003-3908-8225,Proper recognition: Personhood and symbolic capital in contemporary sociology,10.1177/0011392120932943,2020,2,Theoretical
Michael Burawoy,http://orcid.org/0000-0002-7195-7278,Decolonizing Sociology: The Significance of W.E.B. Du Bois,10.1177/08969205211005180,2021,24,Unknown Method
Katja M. Guenther,http://orcid.org/0000-0003-2615-9549,An invitation to bring animals into feminist and queer sociology,10.1111/soc4.13198,2024,0,Theoretical
Melissa F. Weiner,http://orcid.org/0000-0002-3580-6640,Palestinian Erasure and Dehumanization in Introductory Sociology Texts,10.1177/08969205221132839,2022,2,Unknown Method
Xiaorong Gu,http://orcid.org/0000-0002-5479-9669,Introduction: The case for a value turn in childhood sociology,10.1177/00113921211006102,2021,6,Unknown Method
Jin Jin,http://orcid.org/0000-0002-8671-317X,From a sociology of domination to a sociology of emancipation,10.4324/9781003458579-3,2024,0,Unknown Method
Nikolai Genov,http://orcid.org/0000-0002-0266-1991,Towards a paradigmatic enhancement of sociology,10.1080/03906701.2020.1776917,2020,1,Unknown Method
Kit C. Myers,No ORCID,Freezing time? The sociology of egg freezing,10.1111/soc4.12850,2021,11,Unknown Method
Lauren Jade Martin,http://orcid.org/0000-0003-2324-174X,Freezing time? The sociology of egg freezing,10.1111/soc4.12850,2021,11,Unknown Method
Matthew J. Cousineau,http://orcid.org/0000-0002-3610-5803,Revisiting the sociology of identities and selves with discursive resources,10.1111/soc4.12541,2017,4,Unknown Method
Christopher Donoghue,http://orcid.org/0000-0002-9322-1173,A sociology of bullying: Placing youth aggression in social context,10.1111/soc4.13071,2023,1,Unknown Method
C.J. Pascoe,No ORCID,A sociology of bullying: Placing youth aggression in social context,10.1111/soc4.13071,2023,1,Unknown Method
Sylvia Walby,http://orcid.org/0000-0002-9696-6947,Sociology: Fragmentation or reinvigorated synthesis?,10.1177/1468795x211042969,2021,1,Theoretical
Jan Maršálek,http://orcid.org/0000-0002-9518-5487,The degradation of the analytic-synthetic method in Herbert Spencer’s sociology,10.1177/1468795x241268851,2024,0,Unknown Method
Balca Arda,http://orcid.org/0000-0002-3793-2472,Aesthetic Approach for Critical Sociology of Contemporary Communication Technology,10.1177/08969205231206511,2023,1,"Survey, Theoretical"
Kieran Durkin,http://orcid.org/0000-0002-8996-7685,"Book Review: Neil McLaughlin, <i>Erich Fromm and Global Public Sociology</i>",10.1177/00380385221081396,2023,0,Unknown Method
Pedro Serrão,http://orcid.org/0000-0003-2957-174X,Teaching and learning guide for: Towards sociology from the arts: An epistemological turn,10.1111/soc4.12510,2017,0,Unknown Method
M. Anwar Hossen,http://orcid.org/0000-0002-9282-3228,Decolonizing Sociology for Social Justice in Bangladesh: Delta Scholarship Matters,10.1177/08969205221085687,2022,1,Unknown Method
Nicole Holzhauser,http://orcid.org/0000-0002-8306-7475,Classical sociology from the metropolis,10.1177/1468795x231212328,2023,0,Unknown Method
Stephan Moebius,http://orcid.org/0000-0001-6141-4838,Classical sociology from the metropolis,10.1177/1468795x231212328,2023,0,Unknown Method
John Goodwin,http://orcid.org/0000-0002-6061-865X,Slower Sociologies for the Sociology of the Future,10.1177/00380385221127106,2023,0,Unknown Method
Mark Rimmer,http://orcid.org/0000-0001-6916-6795,Beginning at the Beginning: Towards a Trans-actional Music Sociology,10.1177/17499755221137507,2022,0,Unknown Method
Laurie Cooper Stoll,http://orcid.org/0000-0002-6333-5655,We must do better: Ableism and fatphobia in sociology,10.1111/soc4.12869,2021,12,Theoretical
Justine Egner,No ORCID,We must do better: Ableism and fatphobia in sociology,10.1111/soc4.12869,2021,12,Theoretical
N. N. Meshcheryakova,http://orcid.org/0000-0001-7658-7993,Book review: Kravchenko S. A. “Sociology of Digitalisation: university textbook”,10.26425/2658-347x-2021-4-4-109-113,2022,2,Unknown Method
L. A. Vasilenko,http://orcid.org/0000-0002-0468-8194,Book review: Kravchenko S. A. “Sociology of Digitalisation: university textbook”,10.26425/2658-347x-2021-4-4-109-113,2022,2,Unknown Method
Simeon J. Newman,http://orcid.org/0000-0002-2818-3975,Aníbal Quijano’s Critical Sociology: From Dependency Theory to Coloniality,10.1177/23326492241268532,2024,0,Unknown Method
Mary J. Hickman,http://orcid.org/0000-0002-7394-4788,Reflections on sociology of Irish diaspora,10.1177/07916035211054347,2021,0,Unknown Method
Paolo Boccagni,http://orcid.org/0000-0001-8379-8561,"For a comparative sociology of home: Relationships, cultures, structures",10.1177/0011392120927776,2020,31,Theoretical
Margarethe Kusenbach,No ORCID,"For a comparative sociology of home: Relationships, cultures, structures",10.1177/0011392120927776,2020,31,Theoretical
Silvia Domínguez,http://orcid.org/0000-0002-8965-0696,Racial microaggressions: Bridging psychology and sociology and future research considerations,10.1111/soc4.12803,2020,9,Unknown Method
David G. Embrick,http://orcid.org/0000-0002-4380-053X,Racial microaggressions: Bridging psychology and sociology and future research considerations,10.1111/soc4.12803,2020,9,Unknown Method
Mathieu Hikaru Desan,http://orcid.org/0000-0003-0847-7527,Realist and Historicist Modes of Critique in Critical Sociology,10.1177/08969205221137301,2022,3,Unknown Method
Jordi Mundó,http://orcid.org/0000-0002-1510-8511,Fiduciary relationships,10.1177/00113921241271860,2024,0,Unknown Method
Swatiprava Rath,http://orcid.org/0000-0002-9506-6349,"Investigating waste in the ambit of environmental sociology in Bhubaneswar, India",10.1080/23251042.2024.2307671,2024,0,Unknown Method
Pranay Kumar Swain,http://orcid.org/0000-0001-9863-4068,"Investigating waste in the ambit of environmental sociology in Bhubaneswar, India",10.1080/23251042.2024.2307671,2024,0,Unknown Method
John Aloysius Zinda,http://orcid.org/0000-0002-7124-5916,China’s summons for environmental sociology,10.1177/0011392118778098,2018,12,Unknown Method
Yifei Li,No ORCID,China’s summons for environmental sociology,10.1177/0011392118778098,2018,12,Unknown Method
John Chung-En Liu,No ORCID,China’s summons for environmental sociology,10.1177/0011392118778098,2018,12,Unknown Method
Andrej Holm,http://orcid.org/0000-0001-7514-0188,Sociology of gentrification,10.4337/9781800888906.00019,2024,0,Unknown Method
Peter Oosterveer,http://orcid.org/0000-0002-3067-3068,"Consumption, sociology of",10.4337/9781803921044.ch19,2024,0,Unknown Method
Jorge Daniel Vásquez,http://orcid.org/0000-0002-4716-768X,The Political Sociology of 21st-Century Populism in Latin America: A Critique of the Ecuadorian Case,10.1177/08969205211032256,2021,1,Theoretical
Theo D'haen,http://orcid.org/0000-0001-5931-6139,World Literature and Comparative Literature,10.4324/9781003366713-4,2024,0,Unknown Method
Shu-Kun Lin,http://orcid.org/0000-0002-2427-540X,Publisher’s Note: Literature Is Launched,10.3390/literature1010001,2021,0,Unknown Method
Anne Stiles,http://orcid.org/0000-0001-5867-6466,Victorian Literature and Neuroscience,10.1111/lic3.12436,2018,0,Unknown Method
Jerome F. A. Bump,http://orcid.org/0000-0001-9743-6262,"Environmental Literature, Climate Crises, and Pandemics",10.3390/literature1020006,2021,3,Unknown Method
Luca Cortesi,http://orcid.org/0000-0001-8971-0073,Russian First World War Propaganda Literature through Its Anthologies. Some Observations on Russian Soldier-Literature and Journalistic Reporting,10.3390/literature1020008,2021,1,Unknown Method
Todd Foley,http://orcid.org/0000-0003-0043-4020,"Chinese Literature in Translation, World Literature as Genre",10.4324/9781003368168-3,2022,0,Unknown Method
Jerome F. A. Bump,http://orcid.org/0000-0001-9743-6262,"The Value of Literature, Today and Tomorrow",10.3390/literature2010001,2022,1,Unknown Method
Ermawati Zulikhatin,http://orcid.org/0000-0002-9686-8474,Multiliteracy In Literature,10.21070/2019/978-602-5914-64-5,2019,0,Unknown Method
Angie Blumberg,http://orcid.org/0000-0003-1187-1226,Victorian literature and archaeology: Contemporary excavations,10.1111/lic3.12444,2018,0,Survey
James Purdon,http://orcid.org/0000-0003-3553-2149,Literature—Technology—Media: Towards a new technography,10.1111/lic3.12432,2017,1,Unknown Method
Craig Meyer,http://orcid.org/0000-0002-9716-1307,Taking Lessons from Silent Spring: Using Environmental Literature for Climate Change,10.3390/literature1010002,2021,4,Unknown Method
Jarrell D. Wright,http://orcid.org/0000-0002-6351-4151,"Transcending Law and Literature: Literature as Law in Plato, Vico, and Shelley",10.1080/1535685x.2016.1207395,2016,0,Unknown Method
Jerome F. A. Bump,http://orcid.org/0000-0001-9743-6262,The Value of Literature Now and in the Future,10.3390/literature1010005,2021,0,Unknown Method
Michelle R. Warren,http://orcid.org/0000-0002-7159-0605,Chaucer and the future of world literature,10.1111/lic3.12446,2018,3,Unknown Method
Benjamin Goh,http://orcid.org/0000-0001-8109-1132,Planetary Gifts of Law and Literature,10.1080/1535685x.2024.2327899,2024,0,Unknown Method
Alison O'Byrne,http://orcid.org/0000-0002-6185-9789,London and urban culture in eighteenth‐century literature,10.1111/lic3.12437,2018,0,Unknown Method
Joseph Drury,http://orcid.org/0000-0002-0256-5238,Literature and Science in Enlightenment Britain: New Directions,10.1111/lic3.12395,2017,1,Unknown Method
Ian Calvert,http://orcid.org/0000-0001-7062-5805,Recent scholarship on classical literature and the eighteenth century,10.1111/lic3.12682,2022,0,Survey
Fatima Festić,http://orcid.org/0009-0000-4628-1387,Gender as a mediation between world literature and national literature,10.31577/wls.2023.15.3.4,2023,0,Unknown Method
Efterpi Mitsi,http://orcid.org/0000-0003-0965-656X,Revolutionary Greece in Victorian popular literature,10.1111/lic3.12679,2022,0,Unknown Method
Anna Despotopoulou,No ORCID,Revolutionary Greece in Victorian popular literature,10.1111/lic3.12679,2022,0,Unknown Method
Iñaki Tofiño,http://orcid.org/0000-0003-3031-728X,Who controls literature? Black writers and white alpha-editors in Hispanophone African literature,10.1080/21674736.2024.2384249,2024,0,Unknown Method
Silvia Riva,http://orcid.org/0000-0002-0100-0569,Congolese Literature as Part of Planetary Literature,10.1163/24056480-00602006,2021,0,Unknown Method
Stefano Bellin,http://orcid.org/0000-0002-8293-9796,"Literature and global responsibility: Narratives, questions, and challenges",10.1111/lic3.12750,2023,0,"Survey, Theoretical"
Penny Pritchard,http://orcid.org/0000-0002-0773-9399,Studies in English protestant dissent and literature after 1662,10.1111/lic3.12469,2018,0,Unknown Method
Anna Gnot,http://orcid.org/0000-0002-5191-4668,PIOTR FLORCZYK — KEVIN A. WISNIEWSKI (eds.): Polish Literature as World Literature,10.31577/wls.2024.16.1.12,2024,0,Unknown Method
Katherine Saunders Nash,http://orcid.org/0000-0002-1139-8769,Mid-Pandemic Pedagogy: A Candid Dialogue between Student and Literature Professor,10.3390/literature2020006,2022,0,Unknown Method
Emma Carlson,http://orcid.org/0000-0002-2478-0051,Mid-Pandemic Pedagogy: A Candid Dialogue between Student and Literature Professor,10.3390/literature2020006,2022,0,Unknown Method
Adam Bžoch,http://orcid.org/0000-0002-3943-3669,THEO D’HAEN (ed.): Dutch and Flemish Literature as World Literature,10.31577/wls.2021.13.3.13,2021,0,Unknown Method
Mark Vareschi,http://orcid.org/0000-0002-5315-9598,Surveillance Studies and Literature of the Long 18th Century,10.1111/lic3.12435,2017,2,Survey
Martin Paul Eve,http://orcid.org/0000-0002-5589-8511,"Professor of Literature, Technology and Publishing",10.59348/cp9fk-yby07,2016,0,Unknown Method
Julien Jeusette,http://orcid.org/0000-0002-2631-8450,Contemporary Congolese Literature as World Literature,10.1163/24056480-00602001,2021,1,Unknown Method
Silvia Riva,http://orcid.org/0000-0002-0100-0569,Contemporary Congolese Literature as World Literature,10.1163/24056480-00602001,2021,1,Unknown Method
Elina Druker,http://orcid.org/0000-0002-0592-9228,Introduction,10.1075/clcc.17.intro,2023,0,Unknown Method
Bettina Kümmerling-Meibauer,http://orcid.org/0000-0003-0068-5575,Introduction,10.1075/clcc.17.intro,2023,0,Unknown Method
Mats Karlsson,http://orcid.org/0000-0002-9926-8765,The Proletarian Literature Movement: Japan’s First Encounter with Working-Class Literature,10.16993/bbf.e,2020,0,Unknown Method
Zvonko Taneski,http://orcid.org/0000-0002-5984-5732,Mihaela P. Harper – Dimitar Kambourov (eds.): Bulgarian Literature  as World Literature,10.31577/wls.2022.14.3.11,2022,0,Unknown Method
Jonathan Locke Hart,http://orcid.org/0000-0002-2518-5123,"Poetry, Language and Literature",10.4324/9781003423096-4,2024,0,Unknown Method
Rachel Stewart,http://orcid.org/0000-0001-5616-6008,"World Literature and Japan: Tokyo, Worlding and Murakami Haruki",10.1111/lic3.12223,2015,0,Theoretical
Marisa Palacios Knox,http://orcid.org/0000-0001-8701-9414,Imagining informal empire: Nineteenth‐century British literature and Latin America,10.1111/lic3.12505,2019,1,Unknown Method
Jia Wei Lim,http://orcid.org/0000-0001-9097-0729,Moving onwards for “Literature in English”,10.4324/9781003205937-16,2024,0,Unknown Method
Yuwen Zhang,http://orcid.org/0000-0002-2734-1732,<i>Queer Anxieties of Young Adult Literature and Culture.</i> Children's Literature Association Series. Derritt Mason,10.3366/ircl.2022.0434,2022,0,Unknown Method
Tommaso Gazzolo,http://orcid.org/0000-0002-7055-571X,The Reflexivity of Law and of Literature,10.1080/1535685x.2021.1847790,2020,1,Unknown Method
Martin Paul Eve,http://orcid.org/0000-0002-5589-8511,The Nobel Prize for Literature 2011 Hoax,10.59348/ygq5n-mjc47,2011,0,Unknown Method
Theo D'haen,http://orcid.org/0000-0001-5931-6139,Naming World Literature,10.4324/9781003366713-2,2024,0,Unknown Method
Jia Wei Lim,http://orcid.org/0000-0001-9097-0729,Glimpses of “Literature in English” classroom experiences,10.4324/9781003205937-11,2024,0,Unknown Method
Martin Paul Eve,http://orcid.org/0000-0002-5589-8511,Designing a UK undergraduate English literature course,10.59348/jyxvg-cny44,2011,0,Unknown Method
Zhou Xiaojuan,http://orcid.org/0000-0003-2244-7017,On “Science-Literature-Art” in Chinese Children’s Literature,10.1007/s10583-023-09532-0,2023,0,Unknown Method
Samara Anne Cahill,http://orcid.org/0000-0001-9515-2653,Anglo‐Muslim relations in 18th‐century literature and culture,10.1111/lic3.12601,2020,0,Theoretical
V. M. Nikolaienko,http://orcid.org/0000-0003-0493-3425,MURDER BY STARVATION: THE TOPIC OF HOLODOMOR OF 1932–1933 YEARS IN UKRAINIAN LITERATURE,10.26661/2414-9594-2022-2-13,2022,0,Unknown Method
Shailendra Kumar,http://orcid.org/0000-0002-7493-5496,Decoding the Elements of Human Rights from the Verses of Ancient Védic Literature and Dharmaśāstras,10.3390/literature1010004,2021,0,Unknown Method
Sanghamitra Choudhury,http://orcid.org/0000-0003-1417-1735,Decoding the Elements of Human Rights from the Verses of Ancient Védic Literature and Dharmaśāstras,10.3390/literature1010004,2021,0,Unknown Method
Thomas Herron,http://orcid.org/0000-0002-0267-4143,Thorns and roses: The international dimension of ‘Old English’ literature in Ireland,10.1111/lic3.12500,2018,0,Survey
Corrina Readioff,http://orcid.org/0000-0002-4895-7157,Recent approaches to paratext studies in eighteenth‐century literature,10.1111/lic3.12650,2021,2,Survey
Theo D'haen,http://orcid.org/0000-0001-5931-6139,World Literature as System,10.4324/9781003366713-7,2024,0,Unknown Method
Katy Lewis,http://orcid.org/0000-0001-7925-8247,<i>Table Lands: Food in Children's Literature</i>. Children's Literature Association Series. Kara Keeling and Scott Pollard,10.3366/ircl.2022.0439,2022,0,Unknown Method
Theo D'haen,http://orcid.org/0000-0001-5931-6139,World Literature and Translation,10.4324/9781003366713-8,2024,0,Unknown Method
Jakob Ladegaard,http://orcid.org/0000-0002-7796-6749,Introduction: Writing Inheritance in European Literature,10.1080/1535685x.2021.1902638,2023,0,Unknown Method
Beth Cortese,http://orcid.org/0000-0001-6170-6531,Introduction: Writing Inheritance in European Literature,10.1080/1535685x.2021.1902638,2023,0,Unknown Method
Dorothy Kim,http://orcid.org/0000-0002-6751-6517,Introduction to literature compass special cluster: Critical race and the Middle Ages,10.1111/lic3.12549,2019,12,Unknown Method
Boqian Xu,http://orcid.org/0000-0001-5947-5228,China's new Towns in Controversy: A Literature Review,10.1177/08854122211051614,2021,9,Survey
Sina Shahab,http://orcid.org/0000-0003-3788-2564,Transaction Costs in Planning Literature: A Systematic Review,10.1177/08854122211062085,2021,15,Unknown Method
Tom Chadwick,No ORCID,Literature in the New Archival Landscape,10.1080/10436928.2020.1712793,2020,2,Unknown Method
Pieter Vermeulen,http://orcid.org/0000-0003-1992-1646,Literature in the New Archival Landscape,10.1080/10436928.2020.1712793,2020,2,Unknown Method
Katherine Gustafson,http://orcid.org/0000-0003-3883-2550,Life Stage Studies and the Eighteenth Century: Reading Age in Literature,10.1111/lic3.12165,2014,1,Survey
